occurrence_id,paper_key,title,year,object_name,alternate_object_names,ra_deg,dec_deg,classification,candidate_quality,population_tier,primary_flag,region,table_role,source_url,retrieval_status,notes,input_dataset
OCC-04646,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3011413880050296192,,89.5131063700,-9.6398344300,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04647,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3316676584668889856,,89.5426735400,3.6221385000,QPD,false,automated_yso_dipper_allsky,no,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04648,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 2997248498088239488,,89.5831774200,-13.6879495800,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04649,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 2997470977394343680,,89.6479787400,-13.2551004200,APD,false,automated_yso_dipper_allsky,no,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04650,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 2997223415479247872,,89.6588609800,-13.9400294000,QPD,false,automated_yso_dipper_allsky,no,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04651,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 2997475856477184768,,89.7575652900,-13.2669290800,QPD,false,automated_yso_dipper_allsky,no,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04652,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3315151600697287040,,89.8393137100,1.7138926200,QPD,false,automated_yso_dipper_allsky,no,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04653,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 2999389659544989824,,89.9570578000,-9.8447219100,QPD,false,automated_yso_dipper_allsky,no,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04654,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3316371818086516992,,90.0378704400,2.9049710300,QPD,false,automated_yso_dipper_allsky,no,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04655,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3450209389941388032,,90.0782738700,31.9198821400,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04656,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3316368897508749312,,90.0829533200,2.8914656200,QPD,false,automated_yso_dipper_allsky,no,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04657,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3450210004119379712,,90.1081957700,31.9650655700,QPD,false,automated_yso_dipper_allsky,no,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04658,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 2999375950009371904,,90.1399569700,-9.9204458600,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04659,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3005398421870305664,,90.1593149500,-9.6100312200,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
OCC-04660,mas2026,Exploring the Variability of Young Stars with Gaia DR3 Light Curves,2026,Gaia DR3 3017533589972171008,,90.1786210900,-8.6108503000,QPD,true,automated_yso_dipper_allsky,yes,all sky,VizieR tabled1 complete,https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A%2BA/705/A172,complete,Primary=true is the recommended high-quality subset; secondary QPDs have substantial contamination risk,yso_survey_candidate_coordinates
