source,source_key,tde_id,name,aliases,ra_deg,dec_deg,redshift,discovery_mjd,peak_mjd_ref,discovery_survey,class_label,confidence,host_name,log_mbh,notes,mag_value,mag_band,mag_basis,include_flag
otter,6576300,ptf09axc,PTF09axc,PTF09axc,223.30441666666664,22.24227777777778,0.1146,55002.0,55023.62500000004,optical,tde,secure,SDSS J145313.07+221432.2,,source=OTTER; TDE TDE SN II; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6576123,ptf09djl,PTF09djl,PTF09djl,248.4830833333333,30.237861111111112,0.184,55036.0,55049.17500000001,optical,tde,secure,SDSS J163355.97+301416.6,,source=OTTER; TDE SN II; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575850,j121116,J121116,J121116,182.818625,0.22925,0.0763,54955.0,,optical,tde,secure,SDSS J121116.47+001345.3,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575852,at2021nwa,AT 2021nwa,AT 2021nwa;ZTF21abcgnqn;ATLAS21sjl,238.463623211,55.5888408,0.047,59345.38744,59399.9583333333,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575858,wtp17aaldjb,WTP17aaldjb,WTP17aaldjb,197.064964,4.485906,0.04832,,,ir,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575860,at2019ahk,AT 2019ahk,AT 2019ahk;ASASSN-19bt,105.047461,-66.040214,0.0262,58512.91,58544.00599999995,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575862,wtp16aatsnw,WTP16aatsnw,WTP16aatsnw,254.844458,20.8298,0.04513,,,ir,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575873,at2020vdq,AT 2020vdq,AT 2020vdq;Gaia20esn;ZTF20acaazkt;VT J1008,152.22267081,42.71672845,0.044,59126.49162,59113.048321759234,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575875,at2021ack,AT 2021ack,AT 2021ack;ZTF20acyydkh;ATLAS21blz,208.2916185,9.7403742,0.133,59226.62,59225.00000000002,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575879,iptf16axa,iPTF16axa,iPTF16axa,255.89316666666664,30.593555555555554,0.108,57537.0,57523.41999999996,optical,tde,secure,SDSS J170334.34+303536.6,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575881,at2018jbv,AT 2018jbv,AT 2018jbv;ZTF18acnbpmd;ATLAS19acl;PS19aoz,197.689794,8.567834,0.34,58448.562997685185,58468.34150000003,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575885,j141036,J141036,J141036,212.65337499999995,26.90694444444444,0.1071,54945.0,,optical,tde,secure,SDSS J141036.81+265425.0,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575889,at2021utq,AT 2021utq,AT 2021utq;Gaia21eqh;ATLAS21bgtn;ZTF21abqtckk,229.621337,73.358726,0.127,59427.28253469907,59454.95833333332,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575895,at2021lo,AT 2021lo,AT 2021lo;ATLAS21dma;ZTF21aabiipy,46.109744,4.7456769,0.152,59218.17627310185,59256.99999999996,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575897,at2019eve,AT 2019eve,AT 2019eve;ZTF19aatylnl;Gaia19bti;ATLAS19kfv,172.206932,15.672884,0.0813,58608.233935185184,58614.52400000003,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575899,at2022mim,AT 2022mim,AT 2022mim;WTP14abnpgk,251.477888,-23.451942,0.02035,,,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575901,at2019teq,AT 2019teq,AT 2019teq;ZTF19accmaxo,284.772883,47.518226,0.0874,58776.11638888889,58794.13209490739,optical,tde,secure,,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575907,j030257,J030257,J030257,45.73808333333333,-8.495249999999999,0.1056,55143.0,,optical,tde,secure,SDSS J030257.14-082942.6,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
otter,6575909,j142401,J142401,J142401,216.00691666666665,29.84122222222222,0.0855,54947.0,,optical,tde,secure,SDSS J142401.66+295028.4,,source=OTTER; TDE; mag_basis=OTTER optical photometry,,,OTTER optical photometry,False
