event,field,program,star_id,classification,ef_classification,al_classification,ra,dec,ra_deg,dec_deg,t_0,t_eff,t_e,u_0,isource,ibase,icat,ctype,a_i,ogle_moa,related_event,extra_type
KMT-2024-BLG-2373,BLG34K0301,,030172,,clear,clear,18:02:34.76,-32:05:11.11,270.6448333333,-32.0864194444,60561.38699,,50.17,0.405,20.43,19.23,19.23,1.0,0.92,,,
KMT-2024-BLG-2374,BLG41M0803,,066167,,clear,clear,17:54:26.22,-30:51:54.79,268.60925,-30.8652194444,60550.02529,,8.86,0.105,21.61,20.0,20.0,1.0,1.89,,,
KMT-2024-BLG-2375,BLG41N0206,,051349,,clear,clear,17:58:17.70,-31:34:59.20,269.57375,-31.5831111111,60550.45956,,18.13,0.013,22.38,19.89,19.89,1.0,1.37,,,
KMT-2024-BLG-2376,BLG41T0105,,006134,,clear,clear,17:53:43.43,-31:48:44.32,268.4309583333,-31.8123111111,60582.15448,,22.23,0.999,17.85,17.43,17.43,1.0,1.93,,OB241348,
KMT-2024-BLG-2377,SAO42M0506,,049046,,clear,clear,17:56:14.82,-28:23:30.01,269.06175,-28.3916694444,60569.29482,,58.2,0.203,19.57,19.93,19.93,1.0,2.24,,,
KMT-2024-BLG-2378,BLG01M0404,,002350,,possible,probable,17:57:19.61,-30:40:57.00,269.3317083333,-30.6825,60568.70107,,39.78,0.998,17.72,16.2,16.2,1.0,1.65,,,
KMT-2024-BLG-2379,BLG02T0303,,087208,,clear,clear,17:52:45.39,-29:42:57.49,268.189125,-29.7159694444,60552.99473,,154.83,0.002,24.08,20.0,20.07,1.0,2.16,,,
KMT-2024-BLG-2380,BLG14M0305,,053697,,clear,clear,17:39:52.75,-28:16:49.51,264.9697916667,-28.2804194444,60551.66391,,30.14,0.028,22.58,20.0,21.51,2.0,3.25,,,
KMT-2024-BLG-2381,BLG17K0602,,042082,,clear,clear,17:41:21.40,-32:58:07.72,265.3391666667,-32.9688111111,60557.91074,,18.07,0.49,20.43,20.0,21.94,2.0,3.65,,,
KMT-2024-BLG-2382,BLG17T0706,,065929,,clear,clear,17:40:32.07,-33:36:44.35,265.133625,-33.6123194444,60557.52049,,89.59,0.027,22.97,20.0,22.09,2.0,3.44,,,
KMT-2024-BLG-2383,BLG18K0807,,005800,,clear,clear,17:41:38.64,-25:51:17.93,265.411,-25.8549805556,60562.55078,,11.19,0.915,18.56,18.57,18.57,4.0,2.7,,,
