asassn_id,other_ids,atel_tns,ra,dec,discovery_ut,v_g_mag,sdss,dss,vizier,spectroscopic_class,comments,ra_deg,dec_deg
,AT2018hdm (ATLAS18znk),-,20:36:24.65,-15:14:10.1,2018-12-2.05,17.06,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.053974, discovered 2018/11/26.258, Type unknown",309.1027083333334,-15.236138888888888
ASASSN-18aau,,-,8:28:27.51,-63:29:59.3,2018-12-1.28,15.87,SDSS,DSS,VIZIER,-,"CV candidate, matches to GAIA DR2 G=17.4, previous outbursts in CRTS, g>17.9 on 2018-11-29.28, g=16.7 on 2018-11-30.09, g=16.2 on 2018-12-01.29, g=16.0 on 2018-12-03.26.",127.11462499999999,-63.499805555555554
ASASSN-18aar,SN 2018jgn,TNS,0:2:56,-26:54:52.9,2018-12-1.14,16.96,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS, type Ia",0.7333333333333333,-26.914694444444443
,2018ihs (ATLAS18yrw),-,2:28:13.4,26:3:35.1,2018-11-30.84,16.77,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.029, discovered 2018/11/09.471, Type Ia",37.05583333333333,26.05975
,2018iui (ZTF18acpfwmm),-,7:31:12.5,53:41:53.7,2018-11-30.39,17.12,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.0493, discovered 2018/11/18.517, Type Ia",112.80208333333333,53.698249999999994
ASASSN-18aan,,-,0:46:7.99,62:10:4.9,2018-11-30.22,15.28,SDSS,DSS,VIZIER,-,"CV candidate, matches to PS1 g=17.5, V>17.6 on 2018-11-25.33, g=17.3 on 2018-11-26.26, g=16.7 on 2018-11-27.25, g=15.7 on 2018-11-29.28, g=15.7 on 2018-11-30.22.",11.533291666666667,62.16802777777777
,AT2018jao (ATLAS18zmv),-,21:50:11.09,-3:41:33.2,2018-11-30.11,16.57,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2018/11/26.265, Type unknown",327.5462083333333,-3.692555555555556
,AT2018jfp (ZTF18acrtvmm),-,3:17:56.4,-0:10:9.6,2018-11-29.89,17.13,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.022816, discovered 2018/11/28.341, Type unknown",49.485,-0.16933333333333334
ASASSN-18aao,,-,21:51:49.55,-3:29:32.3,2018-11-29.07,14.92,SDSS,DSS,VIZIER,-,"CV candidate, matches to SDSS g=22.4, g>18.2 on 2018-11-28.12, g=15.2 on 2018-11-29.08, g=14.6 on 2018-11-30.12.",327.95645833333333,-3.4923055555555558
ASASSN-18aap,,-,7:23:31.92,18:40:41.4,2018-11-29.53,16,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, previous outburst in CRTS, g>17.4 on 2018-11-22.27, V=16.7 on 2018-11-28.61, V=15.9 on 2018-11-29.53.",110.88300000000001,18.67816666666667
,AT2018jbc (ZTF18acrhefh),-,13:54:39.4,39:8:51.2,2018-11-29.5,16.83,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.050556, discovered 2018/11/20.510, Type unknown",208.66416666666666,39.147555555555556
ASASSN-18aak,,-,2:12:12.79,-16:51:42.4,2018-11-28.11,16.49,SDSS,DSS,VIZIER,-,"large flare, matches to g=22.3 SDSS DR12 source, V>17.1 on 2018-11-27.35, g=16.8 on 2018-11-28.12, g>18.3 on 2018-11-28.81.",33.05329166666667,-16.861777777777778
,AT2018jan (ATLAS18zms),-,2:20:8.23,-24:21:17,2018-11-28.11,17.17,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2018/11/25.421, Type unknown",35.03429166666667,-24.354722222222225
,2018ids (ATLAS18yip),-,21:16:11.39,11:56:44.7,2018-11-28.13,16.59,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.036, discovered 2018/11/05.308, Type Ia",319.04745833333334,11.94575
ASASSN-18aal,,-,6:49:45.99,-26:57:11.6,2018-11-28.2,15.95,SDSS,DSS,VIZIER,-,"CV candidate, matches to PS1 g=20.9, g>17.5 on 2018-11-27.35, g=16.3 on 2018-11-28.21, g>18.6 on 2018-11-29.20.",102.441625,-26.953222222222223
,AT2018jdx (Gaia18dos),-,20:33:15.31,-44:32:29.7,2018-11-28.06,17.04,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2018/11/26.567, Type unknown",308.3137916666667,-44.54158333333333
,AT2018jas,-,0:43:44.54,41:27:51.2,2018-11-28.3,16.42,SDSS,DSS,VIZIER,-,known nova in M31,10.935583333333334,41.464222222222226
ASASSN-18aai,AT 2018jeo,TNS,9:4:36.84,-19:47:8.3,2018-11-28.47,15.79,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",136.1535,-19.78563888888889
,AT2018jax (ZTF18acqpobb),-,13:45:57.84,28:47:45.1,2018-11-27.49,16,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2018/11/20.510, Type unknown",206.491,28.795861111111112
ASASSN-18aah,AT 2018jdq,TNS,11:25:25.85,-8:27:58.8,2018-11-27.6,16.26,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",171.35770833333333,-8.466333333333333
ASASSN-18aam,,-,20:59:38.99,29:29:45.3,2018-11-27.19,15.93,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>17.1 on 2018-11-20.14, g=16.5 on 2018-11-22.13, V=15.5 on 2018-11-24.20, V=15.9 on 2018-11-27.20, V=16.4 on 2018-11-29.20.",314.91245833333335,29.495916666666666
,AT2018imd,-,12:48:24.97,-5:47:39.2,2018-11-27.64,-4.32,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.004140, discovered 2018/11/14.863, Type unknown",192.1040416666667,-5.794222222222222
ASASSN-18aaj,AT 2018jff,TNS,23:48:6.64,-44:58:50.7,2018-11-27.03,17.18,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",357.0276666666667,-44.98075
,AT2018jaz (ZTF18acqpqph),-,13:39:20.08,34:41:21.7,2018-11-27.51,16.02,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.023118, discovered 2018/11/20.510, Type unknown",204.83366666666666,34.68936111111111
,2018isq,-,3:16:50.13,80:47:4.7,2018-11-27.32,16.05,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.007599, discovered 2018/11/20.293, Type Ia",49.208875,80.78463888888889
ASASSN-18aaf,AT 2018jbm,TNS,1:42:17.63,-45:24:51.9,2018-11-26.09,17.34,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",25.573458333333335,-45.41441666666667
,AT2018iuu (ZTF18acqqyah),-,11:27:21.82,59:37:48.1,2018-11-26.44,15.89,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.017051, discovered 2018/11/21.432, Type unknown",171.84091666666666,59.63002777777778
ASASSN-18aag,,-,5:13:13.04,-36:17:51.5,2018-11-25.28,14.32,SDSS,DSS,VIZIER,-,"large M-dwarf flare in a TESS field, matches to g=16.0 Gaia DR2 source, g>17.5 on 2018-11-25.05, g=14.6 on 2018-11-25.29, g>17.4 on 2018-11-26.29.",78.30433333333333,-36.29763888888888
,2018hna (Gaia18dff),-,12:26:11.87,58:18:51.4,2018-11-23.64,15.25,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.002408, discovered 2018/10/22.815, Type II",186.54945833333335,58.314277777777775
,2018ilu (ATLAS18zek),-,23:33:21.21,4:48:34.4,2018-11-21.88,15.34,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.007, discovered 2018/11/12.367, Type Ia",353.33837500000004,4.809555555555556
ASASSN-18aaq,,-,9:33:25.81,-43:53:32.9,2018-11-22.3,13.2,SDSS,DSS,VIZIER,-,"large flare, matches to g=15.4 Gaia DR2 source, g>17.6 on 2018-11-21.29, g=13.0 on 2018-11-22.30, g=13.5 on 2018-11-22.31, g>16.4 on 2018-11.24.30.",143.3575416666667,-43.892472222222224
ASASSN-18aad,,-,19:0:14.98,42:32:41.6,2018-11-21.07,15.4,SDSS,DSS,VIZIER,-,"CV candidate, matches to PS1 g=21.3, g>17.6 on 2018-11-20.09, g=15.6 on 2018-11-21.07.",285.06241666666665,42.544888888888885
ASASSN-18aae,,-,11:19:50.6,56:19:23.1,2018-11-21.6,15.55,SDSS,DSS,VIZIER,-,"large amplitude flare, matches to SDSS g=23.0, V>17.6 on 2018-11-14.62, V=15.5 on 2018-11-21.60.",169.96083333333334,56.32308333333334
ASASSN-18aac,AT 2018itt,TNS,19:16:20.63,-60:11:54.4,2018-11-20.03,16.21,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",289.08595833333334,-60.19844444444444
,2018imf,-,12:42:41.26,13:15:55.7,2018-11-20.63,0.06,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.0036, discovered 2018/11/14.865, Type IIP",190.67191666666665,13.265472222222222
,AT2018iso (ZTF18acdwazf),-,12:27:16.68,35:48:1.5,2018-11-20.51,16.49,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2018/11/05.537, Type unknown",186.81949999999998,35.80041666666666
,AT2018ins (Gaia18dke),-,8:25:45.65,-3:2:53.1,2018-11-19.44,17.42,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2018/11/13.478, Type unknown",126.44020833333332,-3.048083333333333
,AT2018hop (Gaia18ddy),-,10:5:7.84,-21:39:13.6,2018-11-19.31,17.34,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2018/10/24.488, Type unknown",151.28266666666667,-21.653777777777776
ASASSN-18aaa,,-,6:13:57.68,-34:36:57.9,2018-11-18.19,12.87,SDSS,DSS,VIZIER,-,"large M-dwarf flare, matches to g=14.5 GAIA DR2 source, g>18.5 on 2018-11-16.18, g=13.2 on 2018-11-18.20, g>17.9 on 2018-11-19.15.",93.49033333333334,-34.616083333333336
ASASSN-18aab,,-,7:48:52.88,-17:16:24.3,2018-11-18.31,17.03,SDSS,DSS,VIZIER,-,"CV candidate, matches to PS1 g=21.4, g>18.6 on 2018-11-08.27, g=17.3 on 2018-11-16.22, g=17.4 on 2018-11-17.21, g=17.2 on 2018-11-18.31, g>17.6 on 2018-11-20.39.",117.22033333333333,-17.273416666666666
ASASSN-18zz,AT 2018ioa,TNS,4:20:32.14,-38:57:38.3,2018-11-18.27,17.22,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",65.13391666666666,-38.960638888888894
ASASSN-18zw,,-,20:0:17.83,-8:24:37.9,2018-11-16.07,13.6,SDSS,DSS,VIZIER,-,"bright CV candidate, matches to PS1 g=21.6, g>18.1 on 2018-11-09.09, g=14.0 on 2018-11-16.08.",300.0742916666667,-8.410527777777778
ASASSN-18zx,AT 2018ino,TNS,11:26:42.53,20:43:36.9,2018-11-16.45,17.31,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",171.67720833333334,20.726916666666664
,2018hvf (ZTF18aaklpdo),-,11:49:48.23,25:39:1.9,2018-11-16.47,16.87,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.046, discovered 2018/11/01.496, Type Ia",177.45095833333332,25.650527777777775
,AT2018imn (ATLAS18zfu),-,20:2:40.01,56:27:30.6,2018-11-15.14,14.54,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2018/11/14.253, Type unknown",300.66670833333336,56.4585
,AT2018iko (ZTF18acemhyb),-,7:56:34.16,30:10:35.6,2018-11-15.4,17.45,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.051620, discovered 2018/11/07.375, Type unknown",119.14233333333334,30.176555555555556
,AT2018iev (ZTF18abunigc),-,1:25:57.92,15:18:14.4,2018-11-15.32,16.84,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2018/11/06.358, Type unknown",21.491333333333333,15.304
,AT2018ijg (ATLAS18zde),-,1:33:31.43,-25:44:41,2018-11-14.99,17.86,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2018/11/09.426, Type unknown",23.380958333333332,-25.744722222222222
,2018hzx (ATLAS18ykt),-,1:8:39.05,20:4:44.1,2018-11-14.1,17.04,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.04, discovered 2018/11/05.444, Type Ia",17.162708333333335,20.078916666666668
,2018hti (ATLAS18yff),-,3:40:53.66,11:46:37.8,2018-11-12.31,16.67,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.063, discovered 2018/11/02.517, Type SLSN-I",55.22358333333333,11.777166666666668
ASASSN-18zu,,-,19:43:54.7,-60:1:10.4,2018-11-11.06,17,SDSS,DSS,VIZIER,-,"CV candidate, matches to GAIA DR2 G=20.9, g>18.0 on 2018-11-05.08, g=17.3 on 2018-11-06.08, g=17.0 on 2018-11-08.07, g=17.4 on 2018-11-12.06.",295.9779166666666,-60.019555555555556
ASASSN-18zv,,-,18:36:20.86,-53:24:14.6,2018-11-9.03,17.23,SDSS,DSS,VIZIER,-,"CV candidate, matches to GALEX; g>18.2 on 2018-11-06.04, g=17.2 on 2018-11-06.81, g=17.4 on 2018-11-08.03, g=17.6 on 2018-11-09.03, g=17.5 on 2018-11-12.02.",279.0869166666667,-53.40405555555555
,AT2018hzh (ATLAS18yik),-,4:7:12.95,-37:3:8.7,2018-11-9.18,16.66,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2018/11/05.534, Type unknown",61.80395833333333,-37.052416666666666
,AT2018gfd (Gaia18cot),-,10:9:8.22,-38:23:40.4,2018-11-9.33,17.36,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.014947, discovered 2018/09/09.565, Type unknown",152.28425,-38.394555555555556
,AT2018hmx (ATLAS18xos),-,8:33:39.54,55:35:54.2,2018-11-8.43,17.06,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.037, discovered 2018/10/17.646, Type IIP",128.41475000000003,55.59838888888889
ASASSN-18zs,AT 2018ifr,TNS,0:1:22.03,-25:11:42.9,2018-11-7.91,17.17,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",0.34179166666666666,-25.19525
ASASSN-18zt,AT 2018ihk,TNS,0:4:8.65,-33:36:39.8,2018-11-8.21,17.72,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",1.0360416666666667,-33.61105555555556
ASASSN-18zp,AT 2018ido,TNS,1:15:27.44,-31:23:55.2,2018-11-8.18,17.03,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",18.864333333333335,-31.398666666666667
ASASSN-18zr,,-,19:20:20.74,-46:55:14.8,2018-11-8.06,15.6,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>18.2 on 2018-11-05.07, g=16.8 on 2018-11-06.07, g=16.0 on 2018-11-07.07, g=15.9 on 2018-11-08.07.",290.08641666666665,-46.92077777777777
,AT2018huw (ZTF18acbxsge),-,0:39:12.35,-5:12:1.9,2018-11-7.9,16.85,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2018/11/01.244, Type unknown",9.801458333333334,-5.200527777777778
,AT2018htq (ATLAS18ygk),-,21:2:29.48,-6:38:59.6,2018-11-6.81,17.09,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2018/11/02.288, Type unknown",315.62283333333335,-6.6498888888888885
ASASSN-18zy,AT 2018ipz,TNS,9:20:16.81,86:3:2.5,2018-11-7.48,17.49,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",140.07004166666667,86.05069444444445
ASASSN-18zn,,-,23:55:45.47,24:33:20.7,2018-11-7.31,17.16,SDSS,DSS,VIZIER,-,"CV candidate, matches to SDSS g=22.2, g>18.0 on 2018-11-02.04, g=17.8 on 2018-11-03.15, g=17.6 on 2018-11-06.22, g=17.5 on 2018-11-07.31.",358.9394583333334,24.55575
ASASSN-18zl,AT 2018hzy,TNS,10:48:33.63,-39:2:38,2018-11-7.34,16.97,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",162.140125,-39.04388888888889
ASASSN-18zm,,-,23:30:19.9,51:11:18.7,2018-11-6.21,16.58,SDSS,DSS,VIZIER,-,"CV candidate, matches to SDSS g=21.6, g>16.1 on 2018-10-29.33, g=17.2 on 2018-10-30.27, V=16.8 on 2018-11-05.38, g=17.0 on 2018-11-06.22.",352.5829166666667,51.18852777777777
ASASSN-18zj,AT 2018hyz,TNS,10:6:50.73,1:41:34.3,2018-11-6.64,-4.09,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",151.711375,1.6928611111111111
ASASSN-18zi,AT 2018hyx,TNS,4:29:27.19,-47:4:23.7,2018-11-6.3,17.96,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",67.36329166666667,-47.07325
ASASSN-18zq,AT 2018idp,TNS,22:46:59.58,-26:57:27.5,2018-11-6.18,17.31,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",341.74825,-26.957638888888887
ASASSN-18zh,AT 2018hxj,TNS,1:33:56.42,-39:5:8.8,2018-11-6.25,17.51,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",23.485083333333336,-39.08577777777778
ASASSN-18zk,AT 2018hzg,TNS,11:42:23.61,10:15:51.7,2018-11-6.63,16.1,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",175.59837499999998,10.26436111111111
ASASSN-18ze,AT 2018hxf,TNS,4:22:17.86,-5:28:5.4,2018-11-6.36,17.01,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",65.57441666666666,-5.468166666666667
,2018hrt (ZTF18acbujhw),-,2:38:27.95,29:45:33.5,2018-11-6.32,17.4,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.016945, discovered 2018/10/31.269, Type Ia",39.616458333333334,29.759305555555557
,AT2018htv (ZTF18abkwfxq),-,19:49:41.97,3:18:15.3,2018-11-6.11,17.45,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2018/10/08.106, Type unknown",297.424875,3.3042499999999997
ASASSN-18zc,,-,10:29:39.08,-50:11:52,2018-11-5.33,16.8,SDSS,DSS,VIZIER,-,"CV candidate, matches to GAIA DR2 G=18.6, g>17.0 on 2018-10-21.36, g=17.4 on 2018-10-31.36, g=17.2 on 2018-11-03.35, g=17.3 on 2018-11-05.34.",157.4128333333333,-50.19777777777777
ASASSN-18zd,,-,6:8:38.99,-79:12:34.1,2018-11-5.28,16.69,SDSS,DSS,VIZIER,-,"CV candidate in a TESS field, matches to GALEX; g>17.4 on 2018-10-31.33, g=17.3 on 2018-10-31.35, g=17.4 on 2018-11-03.23, g=17.1 on 2018-11-05.29, g>18.2 on 2018-11-05.32.",92.16245833333335,-79.20947222222223
ASASSN-18za,,-,18:46:38.53,9:55:25.8,2018-11-5.07,16.3,SDSS,DSS,VIZIER,-,"CV candidate, matches to PS1 g=20.4, g>18.6 on 2018-11-03.08, g=16.1 on 2018-11-04.84, g=16.7 on 2018-11-05.07.",281.66054166666663,9.923833333333333
ASASSN-18yz,AT 2018huu,TNS,17:55:4.41,41:23:53.5,2018-11-5.09,17.4,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",268.76837500000005,41.39819444444444
,AT2018htp (ATLAS18ygi),-,5:35:34.04,-33:48:11.6,2018-11-4.3,16.96,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2018/11/01.607, Type unknown",83.89183333333332,-33.80322222222222
,AT2018htf,-,3:0:34.95,11:50:39.6,2018-11-4.08,16.85,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.025661, discovered 2018/11/03.244, Type unknown",45.145624999999995,11.844333333333333
ASASSN-18zg,AT 2018hxh,TNS,21:48:35.81,-62:44:40.6,2018-11-4.07,17.41,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",327.1492083333334,-62.74461111111111
,2018htn (ATLAS18yfs),-,0:28:57.06,-3:38:37.1,2018-11-2.82,17.92,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.08, discovered 2018/11/02.403, Type Ia",7.23775,-3.643638888888889
ASASSN-18zo,,-,6:53:55,-38:59:52.6,2018-11-3.32,15.25,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>17.3 on 2018-11-01.31, g=15.6 on 2018-11-03.32, g=16.0 on 2018-11-05.28, g=16.0 on 2018-11-07.29.",103.47916666666666,-38.99794444444444
ASASSN-18yw,SN 2018hsy,TNS,9:30:29.86,16:20:37.2,2018-11-3.45,16.76,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",142.62441666666666,16.343666666666664
ASASSN-18yu,AT 2018hsr,TNS,0:53:48.77,-60:47:46.7,2018-11-3.17,17.21,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",13.453208333333334,-60.796305555555556
,AT2018hkg (ATLAS18wxg),-,2:30:57.18,-13:43:18.5,2018-11-3.04,17.93,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.035605, discovered 2018/10/14.526, Type unknown",37.73825,-13.721805555555555
ASASSN-18zb,,-,19:57:12.26,18:49:41.2,2018-11-2.01,16.12,SDSS,DSS,VIZIER,-,"CV candidate, matches to PS1 g=21.1, V>17.1 on 2018-10-25.26, g=16.4 on 2018-11-02.01, g=16.6 on 2018-11-03.01, g=16.5 on 2018-11-05.00, V>17.9 on 2018-11-05.23.",299.30108333333334,18.82811111111111
,AT2018hpb (ATLAS18yaz),-,22:1:34.51,-17:27:44.6,2018-11-2.14,16.36,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2018/10/25.372, Type unknown",330.3937916666667,-17.46238888888889
ASASSN-18yt,,-,9:15:58.55,-67:58:3.3,2018-11-2.31,16.94,SDSS,DSS,VIZIER,-,"CV candidate in a TESS field, no Vizier match, V>17.0 on 2018-10-26-33, g=17.2 on 2018-10-31.36, g=17.4 on 2018-11-02.32, g=17.9 on 2018-11-05.31.",138.99395833333332,-67.96758333333334
ASASSN-18zf,AT 2018hxg,TNS,6:7:19.7,-49:13:5.9,2018-11-2.26,17.31,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",91.83208333333333,-49.21830555555556
ASASSN-18yx,AT 2018hsz,TNS,3:56:20.44,-54:0:38.5,2018-11-2.3,17.43,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",59.085166666666666,-54.01069444444445
ASASSN-18yv,SN 2018hss,TNS,4:13:0.13,-53:59:31.8,2018-11-2.12,17.24,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",63.25054166666667,-53.99216666666667
ASASSN-18yy,SN 2018hts,TNS,23:24:32.96,17:5:35.3,2018-11-1.9,16.65,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",351.1373333333333,17.093138888888888
ASASSN-18yr,AT 2018hsh,TNS,23:11:49.54,-40:22:17.3,2018-11-1.24,16.64,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",347.95641666666666,-40.37147222222222
,AT2018hsa,-,21:15:1.06,-47:12:37.1,2018-11-1.18,16.1,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.016, discovered 2018/11/01.519, Type unknown",318.7544166666667,-47.21030555555556
ASASSN-18ys,AT 2018hsk,TNS,6:42:38.98,-53:14:25.6,2018-11-1.2,16.2,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",100.66241666666667,-53.24044444444444
,AT2018hom (ATLAS18xyr),-,22:59:22.9,8:45:4.9,2018-11-1.27,16.82,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2018/10/24.431, Type unknown",344.84541666666667,8.75136111111111
ASASSN-18yo,AT 2018hrp,TNS,19:14:12.24,-49:32:53.9,2018-11-1.05,17.12,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",288.551,-49.54830555555555
,2018hjs (ATLAS18wua),-,1:10:57.87,-13:39:17.9,2018-11-1.07,17.1,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.052, discovered 2018/10/14.473, Type Ia",17.741125000000004,-13.654972222222222
,2018how (ATLAS18xzc),-,23:26:12.67,-25:44:23.8,2018-11-1.04,17.45,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.051, discovered 2018/10/26.376, Type Ia",351.5527916666666,-25.739944444444447
ASASSN-18yl,,-,21:38:16.97,33:34:50.2,2018-10-29.23,16.11,SDSS,DSS,VIZIER,-,"CV candidate, matches to PS1 g=19.1, g>16.9 on 2018-10-25.28, V=16.7 on 2018-10-26.36, g=16.6 on 2018-10-27.21, g=16.4 on 2018-10-29.23.",324.57070833333336,33.58061111111112
ASASSN-18ym,,-,18:8:22.23,19:29:35.5,2018-10-27.08,13.6,SDSS,DSS,VIZIER,-,"large flare, matches to g=18.8 PS1 source, g>16.5 on 2018-10-26.07, g=14.0 on 2018-10-27.08, g>18.6 on 20118-10-29.06.",272.092625,19.493194444444445
ASASSN-18yk,AT 2018hox,TNS,16:36:15.58,66:14:24.4,2018-10-27.06,15.72,SDSS,DSS,VIZIER,-,"SN Ia candidate, posted to TNS",249.0649166666667,66.24011111111112
,2018hhn,-,22:52:32.21,11:40:25.2,2018-10-26.17,16.26,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.0288, discovered 2018/10/13.867, Type Ia",343.13420833333333,11.673666666666666
ASASSN-18yj,,-,21:28:26,26:48:23.9,2018-10-25.05,13.33,SDSS,DSS,VIZIER,-,"large flare, matches to g=17.8 SDSS DR12 source, V>16.9 on 2018-10-23.23, g=13.7 on 2018-10-25.05, V>17.2 on 2018-10-25.22.",322.1083333333333,26.80663888888889
ASASSN-18yg,,-,6:17:39.22,-25:25:1,2018-10-21.2,14.61,SDSS,DSS,VIZIER,-,"CV candidate, matches to faint PS1 source, g>18.1 on 2018-10-19.26, g=14.9 on 2018-10-21.20, g=15.2 on 2018-10-22.11.",94.41341666666666,-25.416944444444447
ASASSN-18yf,AT 2018hme,TNS,9:35:39.42,-17:23:10.8,2018-10-20.37,15.46,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",143.91425,-17.386333333333333
ASASSN-18yi,,-,1:21:52.2,-33:56:15.5,2018-10-19.34,15.26,SDSS,DSS,VIZIER,-,"CV candidate, previous outburst in CRTS, matches to Gaia DR2 G=19.0, g>18.2 on 2018-10-18.17, g=15.6 on 2018-10-19.35, g=15.5 on 2018-10-21.32, g=15.5 on 2018-10-23.17.",20.4675,-33.937638888888884
ASASSN-18yh,,-,3:19:52.71,-81:32:39.3,2018-10-19.29,15.47,SDSS,DSS,VIZIER,-,"CV candidate, matches to GAIA DR2 G=19.2, g>17.8 on 2018-10-17.08, g=16.9 on 2018-10-17.81, g=16.2 on 2018-10-18.34, g=15.8 on 2018-10-19.30, g>16.9 on 2018-10-22.20.",49.969625,-81.54424999999999
ASASSN-18yn,AT 2018hpu,TNS,3:18:21.29,-41:36:34.8,2018-10-17.86,17.82,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",49.58870833333333,-41.60966666666667
,AT2018hjn (ATLAS18wtl),-,5:0:46.02,-29:51:33.2,2018-10-17.22,-0.11,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.020811, discovered 2018/10/14.613, Type unknown",75.19175,-29.859222222222222
ASASSN-18yp,AT 2018hrq,TNS,23:51:6.32,1:3:22.9,2018-10-17.42,17.31,SDSS,DSS,VIZIER,-,"SN candidate, posted to TNS",357.77633333333335,1.056361111111111
ASASSN-18yd,,-,21:21:45.34,30:55:25,2018-10-17.03,16.23,SDSS,DSS,VIZIER,-,"CV candidate, matches to PS1 g=21.3, g>18.2 on 2018-10-10.78, g=16.3 on 2018-10-13.10, g=16.6 on 2018-10-17.04.",320.4389166666667,30.92361111111111
ASASSN-18ye,,-,8:42:33.12,-23:41:32.2,2018-10-17.35,16.74,SDSS,DSS,VIZIER,-,"CV candidate, no Vizier match, g>18.2 on 2018-10-10.10, g=16.8 on 2018-10-15.36, g=17.1 on 2018-10-17.35.",130.63799999999998,-23.69227777777778
