asassn_id,other_ids,atel_tns,ra,dec,discovery_ut,v_g_mag,sdss,dss,vizier,spectroscopic_class,comments,ra_deg,dec_deg
ASASSN-26bc,,-,17:43:29.75,11:24:0.6,2026-02-23.37,-3.37,SDSS,DSS,VIZIER,-,"CV candidate, matches to PS1 g=22.2, g>17.7 on 2026-02-18.47, g=16.2 on 2026-02-21.38, g=13.5 on 2026-02-22.38, g=14.0 on 2026-02-24.61",265.8739583333333,11.400166666666667
ASASSN-26bd,,-,16:59:41.08,-80:1:51.2,2026-02-23.3,14.38,SDSS,DSS,VIZIER,-,"CV candidate, matches to GAIA DR3 G=17.3, g>18.0 on 2026-02-21.38, g=16.0 on 2026-02-22.26, g=14.8 on 2026-02-23.31",254.9211666666667,-80.03088888888888
,SN2026cff (ZTF26aaffpvx),-,11:23:31.77,-8:39:15.4,2026-02-23.15,-1.08,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.0122, discovered 2026/02/06.337, Type II",170.882375,-8.654277777777779
,SN2026dmk (GOTO26bbv),-,14:55:17.39,-5:56:5.3,2026-02-23.22,-0.76,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.025, discovered 2026/02/17.732, Type Ia",223.82245833333332,-5.934805555555556
,SN2026cjz (ZTF26aafgfmi),-,12:28:15.19,44:27:20.8,2026-02-23.47,15.62,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.023, discovered 2026/02/06.386, Type Ia",187.0632916666667,44.45577777777778
,AT2026dsk (ATLAS26cbj),-,12:12:29.55,-2:40:43.3,2026-02-23.4,17.21,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2026/02/18.290, Type unknown",183.123125,-2.6786944444444445
,SN2026chr (GOTO26alv),-,9:21:5.29,6:11:42.8,2026-02-23.1,17.39,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.054, discovered 2026/02/05.614, Type Ia",140.27204166666667,6.195222222222222
,SN 2026dsy (GOTO26bhm),-,16:5:38.61,18:6:7.4,2026-02-23.36,17.15,SDSS,DSS,VIZIER,-,"known SN candidate, z unknown, discovered 2026/02/17.266, Type unknown",241.410875,18.102055555555555
,SN 2026dpg (ATLAS26cas),-,4:55:50.66,-29:52:57.7,2026-02-23.11,15.75,SDSS,DSS,VIZIER,-,"known SN candidate, z=0.019, discovered 2026/02/18.324, Type Ia-91T",73.96108333333333,-29.882694444444446
,AT2026drl (ATLAS26ccs),-,4:21:28.18,-53:22:54.4,2026-02-21.03,17.31,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.039059, discovered 2026/02/17.075, Type unknown",65.36741666666667,-53.38177777777778
,SN 2026dix (= MASTER OT J115037.50+552113.1) (= ZTF26aagwsfc) (= GOTO26bag),-,11:50:37.32,55:21:13.7,2026-02-21.43,16.39,SDSS,DSS,VIZIER,-,"known SN candidate, zhost=0.003185, discovered 2026/02/16.393, Type IIb",177.6555,55.35380555555556
