event,field,star_no,ra_j2000,ra_deg,dec_j2000,dec_deg,tmax_hjd,tmax_ut,tau,umin,amax,dmag,fbl,ibl,i0
2012-BLG-0030,BLG617.03,87926,17:16:31.48,259.13116667,-30:18:45.1,-30.31252778,2455984.691,2012-02-27.19,51.56,0.006,155.5,5.480,1.0,20.065,20.065
2012-BLG-0031,BLG500.06,3534,17:50:50.53,267.71054167,-29:10:48.8,-29.18022222,2456021.784,2012-04-04.28,45.015,0.042,23.996,3.450,1.0,18.305,18.305
2012-BLG-0032,BLG501.04,124323,17:51:54.97,267.97904167,-30:18:15.9,-30.30441667,2456004.92,2012-03-18.42,26.572,0.799,1.534,0.464,0.782,16.262,16.529
2012-BLG-0033,BLG501.09,93284,17:54:15.10,268.56291667,-29:55:06.0,-29.91833333,2455975.875,2012-02-18.38,18.459,0.595,1.897,0.695,1.0,18.791,18.791
2012-BLG-0034,BLG504.03,163595,17:57:56.92,269.48716667,-28:36:38.6,-28.61072222,2455972.449,2012-02-14.95,21.385,0.507,2.159,0.836,1.0,18.842,18.842
2012-BLG-0035,BLG504.23,56794,17:56:12.83,269.05345833,-27:54:31.1,-27.90863889,2455975.925,2012-02-18.43,27.694,0.214,4.761,1.694,0.355,19.793,20.918
2012-BLG-0036,BLG505.09,27543,17:59:58.49,269.99370833,-29:20:26.0,-29.34055556,2455969.697,2012-02-12.20,6.143,0.642,1.789,0.632,1.0,18.715,18.715
2012-BLG-0037,BLG505.13,133755,17:56:43.00,269.17916667,-29:22:58.6,-29.38294444,2455973.229,2012-02-15.73,93.83,0.751,1.598,0.509,1.0,18.839,18.839
2012-BLG-0038,BLG505.16,47749,17:54:46.32,268.693,-29:30:51.3,-29.51425,2455968.576,2012-02-11.08,28.721,0.687,1.702,0.577,1.0,16.21,16.21
2012-BLG-0039,BLG505.22,60224,17:56:56.02,269.23341667,-29:06:53.7,-29.11491667,2455975.411,2012-02-17.91,6.967,1.85,1.076,0.079,1.0,15.405,15.405
2012-BLG-0040,BLG506.03,161572,17:57:56.10,269.48375,-30:48:04.0,-30.80111111,2455965.651,2012-02-08.15,12.502,0.001,1703.4,8.078,0.15,17.416,19.474
2012-BLG-0041,BLG506.04,128795,17:57:28.70,269.36958333,-30:52:55.6,-30.88211111,2455975.819,2012-02-18.32,3.754,0.437,2.447,0.971,1.0,18.722,18.722
2012-BLG-0042,BLG506.06,105761,17:55:56.73,268.986375,-31:02:53.5,-31.04819444,2455972.594,2012-02-15.09,45.316,0.661,1.751,0.608,0.546,16.545,17.203
2012-BLG-0043,BLG506.08,77983,18:00:31.02,270.12925,-30:28:24.7,-30.47352778,2456003.263,2012-03-16.76,30.411,0.335,3.113,1.233,1.0,14.2,14.2
2012-BLG-0044,BLG506.16,107564,17:54:26.19,268.609125,-30:40:30.4,-30.67511111,2455987.633,2012-03-01.13,37.463,0.302,3.426,1.337,1.0,19.181,19.181
2012-BLG-0045,BLG506.23,18450,17:56:20.95,269.08729167,-30:16:27.7,-30.27436111,2455930.039,2012-01-03.54,48.646,1.713,1.094,0.097,1.0,16.643,16.643
2012-BLG-0046,BLG506.25,120254,17:54:22.45,268.59354167,-30:10:58.8,-30.183,2455950.2,2012-01-23.70,114.147,0.309,3.354,1.314,0.085,17.229,19.911
2012-BLG-0047,BLG506.26,79376,17:59:41.84,269.92433333,-29:55:10.3,-29.91952778,2455983.5,2012-02-26.00,25.138,0.07,14.221,2.882,0.677,18.469,18.892
2012-BLG-0048,BLG506.29,110098,17:57:20.06,269.33358333,-30:03:32.0,-30.05888889,2455980.216,2012-02-22.72,9.965,0.041,24.291,3.464,0.195,19.079,20.854
2012-BLG-0049,BLG511.03,188349,18:03:31.94,270.88308333,-27:43:56.4,-27.73233333,2456013.125,2012-03-26.62,69.393,0.129,7.821,2.233,0.677,19.091,19.514
2012-BLG-0050,BLG511.06,139606,18:01:37.41,270.405875,-27:45:12.1,-27.75336111,2455950.614,2012-01-24.11,20.659,0.0,4120.0,9.037,1.0,16.955,16.955
2012-BLG-0051,BLG511.11,160726,18:03:27.29,270.86370833,-27:36:21.2,-27.60588889,2455958.317,2012-01-31.82,42.806,0.563,1.980,0.742,1.0,19.11,19.11
2012-BLG-0052,BLG511.22,13735,18:02:32.99,270.63745833,-27:15:07.6,-27.25211111,2455982.356,2012-02-24.86,23.106,0.707,1.667,0.555,1.0,19.413,19.413
2012-BLG-0053,BLG511.25,125950,18:00:01.20,270.005,-27:20:44.0,-27.34555556,2455986.01,2012-02-28.51,114.432,0.367,2.862,1.142,0.129,16.143,18.363
2012-BLG-0054,BLG511.26,175913,18:04:47.97,271.199875,-26:47:47.0,-26.79638889,2455977.931,2012-02-20.43,17.928,0.128,7.888,2.242,1.0,18.785,18.785
2012-BLG-0055,BLG511.29,78995,18:02:55.02,270.72925,-27:01:04.6,-27.01794444,2455979.605,2012-02-22.11,22.211,0.234,4.368,1.601,0.227,19.076,20.687
2012-BLG-0056,BLG511.32,954,18:01:11.00,270.29583333,-27:02:11.9,-27.03663889,2455993.21,2012-03-06.71,31.8,0.891,1.432,0.390,1.0,18.976,18.976
2012-BLG-0057,BLG512.16,111202,18:00:20.14,270.08391667,-28:37:38.6,-28.62738889,2456016.403,2012-03-29.90,37.65,0.351,2.976,1.184,0.891,16.754,16.879
2012-BLG-0058,BLG512.20,24173,18:04:07.63,271.03179167,-28:27:54.3,-28.46508333,2455985.728,2012-02-28.23,54.976,0.649,1.775,0.623,1.0,18.659,18.659
2012-BLG-0059,BLG512.22,176904,18:02:09.36,270.539,-28:34:33.0,-28.57583333,2455965.408,2012-02-07.91,53.148,0.782,1.556,0.480,0.403,18.537,19.523
2012-BLG-0060,BLG512.25,101765,18:00:19.14,270.07975,-28:18:36.2,-28.31005556,2456108.718,2012-06-30.22,0.043,1.84,1.077,0.081,1.0,16.949,16.949
2012-BLG-0061,BLG512.30,44090,18:02:35.94,270.64975,-28:01:54.0,-28.03166667,2455983.231,2012-02-25.73,9.827,0.137,7.356,2.167,0.108,17.277,19.695
2012-BLG-0062,BLG520.28,182290,18:09:06.81,272.278375,-28:40:22.2,-28.67283333,2455978.254,2012-02-20.75,25.106,0.11,9.095,2.397,0.354,18.987,20.115
2012-BLG-0063,BLG520.32,67279,18:06:30.14,271.62558333,-28:44:39.2,-28.74422222,2455972.096,2012-02-14.60,10.868,0.046,21.704,3.341,1.0,15.572,15.572
2012-BLG-0064,BLG534.10,48069,17:53:28.98,268.37075,-31:19:11.1,-31.31975,2456001.432,2012-03-14.93,179.43,0.54,2.049,0.779,0.195,17.026,18.8
2012-BLG-0065,BLG534.11,66060,17:52:39.32,268.16383333,-31:13:10.9,-31.21969444,2455999.927,2012-03-13.43,49.967,0.185,5.479,1.847,0.685,18.568,18.979
2012-BLG-0066,BLG534.17,174963,17:54:24.17,268.60070833,-30:53:17.2,-30.88811111,2455949.033,2012-01-22.53,128.38,0.34,3.069,1.217,0.289,18.117,19.465
2012-BLG-0067,BLG534.24,68968,17:49:34.44,267.3935,-30:51:29.1,-30.85808333,2455976.813,2012-02-19.31,7.637,0.077,12.971,2.782,1.0,17.811,17.811
2012-BLG-0068,BLG534.28,5002,17:52:49.28,268.20533333,-30:40:43.6,-30.67877778,2455946.571,2012-01-20.07,25.896,1.357,1.171,0.172,1.0,16.615,16.615
2012-BLG-0069,BLG534.29,60060,17:52:01.80,268.0075,-30:39:41.4,-30.6615,2455982.632,2012-02-25.13,72.969,0.172,5.890,1.925,0.441,19.136,20.024
2012-BLG-0070,BLG535.01,58927,17:54:06.58,268.52741667,-32:42:03.9,-32.70108333,2455974.36,2012-02-16.86,36.374,0.468,2.309,0.908,1.0,18.704,18.704
2012-BLG-0071,BLG535.04,136199,17:51:30.96,267.879,-32:46:00.9,-32.76691667,2455978.35,2012-02-20.85,61.518,0.216,4.709,1.682,0.144,16.63,18.736
2012-BLG-0072,BLG603.07,127513,17:43:15.61,265.81504167,-34:41:04.0,-34.68444444,2455979.595,2012-02-22.09,44.374,0.116,8.667,2.345,0.602,20.112,20.664
2012-BLG-0073,BLG611.08,126145,17:38:01.98,264.50825,-27:19:30.9,-27.32525,2455983.745,2012-02-26.25,9.284,0.45,2.385,0.944,1.0,17.469,17.469
2012-BLG-0074,BLG611.10,79468,17:37:07.41,264.280875,-27:10:04.7,-27.16797222,2456072.118,2012-05-24.62,81.403,0.147,6.848,2.089,0.903,17.06,17.171
2012-BLG-0075,BLG611.21,201370,17:35:15.14,263.81308333,-26:52:22.7,-26.87297222,2455940.894,2012-01-14.39,41.83,0.658,1.755,0.611,1.0,18.505,18.505
2012-BLG-0076,BLG501.14,97721,17:50:21.69,267.590375,-29:52:01.5,-29.86708333,2456111.04,2012-07-02.54,156.044,2.009,1.060,0.063,1.0,16.051,16.051
2012-BLG-0077,BLG507.18,157843,17:59:28.89,269.870375,-31:23:50.1,-31.39725,2456009.636,2012-03-23.14,78.559,0.62,1.837,0.660,0.128,16.959,19.192
2012-BLG-0078,BLG513.20,120048,18:03:34.10,270.89208333,-29:46:00.1,-29.76669444,2455997.031,2012-03-10.53,55.6,0.549,2.022,0.765,0.396,15.394,16.4
2012-BLG-0079,BLG514.08,35895,18:06:14.13,271.558875,-31:20:09.7,-31.33602778,2455973.665,2012-02-16.16,129.904,0.039,25.976,3.536,0.033,18.654,22.37
2012-BLG-0080,BLG515.31,3905,18:02:01.91,270.50795833,-31:55:13.8,-31.9205,2455979.208,2012-02-21.71,23.006,0.296,3.491,1.357,0.773,17.837,18.116
2012-BLG-0081,BLG518.14,82558,18:07:03.28,271.76366667,-26:50:10.9,-26.83636111,2455976.552,2012-02-19.05,3.383,1.029,1.321,0.303,1.0,16.206,16.206
2012-BLG-0082,BLG518.29,77429,18:08:22.58,272.09408333,-26:26:06.8,-26.43522222,2455936.011,2012-01-09.51,49.198,0.716,1.652,0.545,1.0,17.537,17.537
2012-BLG-0083,BLG519.11,85745,18:09:16.53,272.318875,-28:00:21.7,-28.00602778,2455980.79,2012-02-23.29,84.519,1.041,1.314,0.296,1.0,18.319,18.319
2012-BLG-0084,BLG519.19,39448,18:10:10.83,272.545125,-27:43:19.7,-27.72213889,2455977.126,2012-02-19.63,22.319,0.056,18.010,3.139,0.382,18.095,19.141
2012-BLG-0085,BLG519.25,67414,18:05:49.24,271.45516667,-27:49:27.9,-27.82441667,2455996.525,2012-03-10.03,30.734,0.011,87.061,4.850,1.0,15.433,15.433
2012-BLG-0086,BLG519.25,166596,18:05:31.93,271.38304167,-27:46:58.2,-27.78283333,2455930.919,2012-01-04.42,42.659,0.0,86737,12.346,0.393,14.81,15.825
2012-BLG-0087,BLG520.06,136542,18:07:10.94,271.79558333,-29:33:27.8,-29.55772222,2456044.527,2012-04-27.03,75.837,1.034,1.318,0.300,1.0,15.947,15.947
2012-BLG-0088,BLG580.23,90404,18:06:55.70,271.73208333,-25:21:06.4,-25.35177778,2455985.471,2012-02-27.97,371.292,0.036,27.586,3.602,0.07,19.585,22.471
2012-BLG-0089,BLG611.27,115674,17:36:47.37,264.197375,-26:32:28.8,-26.54133333,2455981.917,2012-02-24.42,10.283,0.0,75479,12.195,0.432,20.058,20.97
2012-BLG-0090,BLG500.26,72673,17:54:06.19,268.52579167,-28:10:17.9,-28.17163889,2455984.476,2012-02-26.98,2.66,0.748,1.602,0.512,1.0,17.829,17.829
2012-BLG-0091,BLG500.31,23674,17:50:45.81,267.690875,-28:01:37.0,-28.02694444,2455982.8,2012-02-25.30,17.432,0.58,1.936,0.717,1.0,20.293,20.293
2012-BLG-0092,BLG501.11,39213,17:52:57.26,268.23858333,-29:52:28.4,-29.87455556,2455991.438,2012-03-04.94,9.996,0.034,29.431,3.672,0.851,17.241,17.416
2012-BLG-0093,BLG504.08,73195,18:00:28.54,270.11891667,-28:07:15.4,-28.12094444,2455985.688,2012-02-28.19,22.569,0.132,7.644,2.208,0.073,17.451,20.296
2012-BLG-0094,BLG505.09,67800,17:59:44.18,269.93408333,-29:26:03.5,-29.43430556,2455973.988,2012-02-16.49,132.067,0.083,12.142,2.711,0.164,20.148,22.112
2012-BLG-0095,BLG513.32,27586,18:01:16.85,270.32020833,-29:13:59.5,-29.23319444,2455984.536,2012-02-27.04,3.641,1.048,1.309,0.293,1.0,14.55,14.55
2012-BLG-0096,BLG515.22,62518,18:02:37.00,270.65416667,-32:03:34.7,-32.05963889,2455979.655,2012-02-22.16,6.168,1.061,1.301,0.286,1.0,18.311,18.311
2012-BLG-0097,BLG603.01,74547,17:48:05.59,267.02329167,-34:29:59.0,-34.49972222,2455999.487,2012-03-12.99,140.391,0.07,14.339,2.891,0.056,17.474,20.613
2012-BLG-0098,BLG611.19,67024,17:37:01.19,264.25495833,-26:59:52.8,-26.998,2455997.987,2012-03-11.49,55.16,0.292,3.528,1.369,1.0,20.229,20.229
2012-BLG-0099,BLG611.20,79087,17:36:22.46,264.09358333,-26:56:27.5,-26.94097222,2455986.633,2012-02-29.13,15.533,0.333,3.128,1.238,1.0,20.075,20.075
2012-BLG-0100,BLG611.20,148548,17:36:03.36,264.014,-27:06:07.4,-27.10205556,2455983.763,2012-02-26.26,5.164,0.858,1.465,0.415,1.0,18.806,18.806
2012-BLG-0101,BLG500.03,54412,17:52:44.91,268.187125,-29:10:39.7,-29.17769444,2455999.264,2012-03-12.76,13.917,1.717,1.093,0.097,1.0,14.792,14.792
2012-BLG-0102,BLG501.02,77584,17:53:25.12,268.35466667,-30:16:47.0,-30.27972222,2456018.239,2012-03-31.74,29.535,0.442,2.423,0.961,1.0,17.735,17.735
2012-BLG-0103,BLG501.08,141681,17:54:40.80,268.67,-29:56:25.7,-29.94047222,2456004.555,2012-03-18.05,12.304,0.24,4.257,1.573,0.977,15.581,15.606
2012-BLG-0104,BLG504.12,16460,17:57:52.99,269.47079167,-28:12:12.9,-28.20358333,2455984.358,2012-02-26.86,38.372,0.092,10.869,2.590,0.229,19.318,20.92
2012-BLG-0105,BLG504.24,60602,17:55:34.51,268.89379167,-27:47:09.4,-27.78594444,2455985.577,2012-02-28.08,17.598,0.433,2.468,0.981,1.0,20.313,20.313
2012-BLG-0106,BLG504.27,141798,17:58:56.47,269.73529167,-27:30:01.8,-27.5005,2455994.343,2012-03-07.84,14.475,0.601,1.881,0.686,1.0,18.837,18.837
2012-BLG-0107,BLG512.07,122682,18:00:46.44,270.1935,-29:07:58.3,-29.13286111,2455981.453,2012-02-23.95,6.747,0.189,5.364,1.824,0.499,18.993,19.748
2012-BLG-0108,BLG512.24,165778,18:00:57.73,270.24054167,-28:19:27.8,-28.32438889,2455993.62,2012-03-07.12,22.868,0.323,3.217,1.268,1.0,19.323,19.323
2012-BLG-0109,BLG513.21,143757,18:02:52.40,270.71833333,-29:35:29.3,-29.59147222,2456015.427,2012-03-28.93,20.425,0.961,1.371,0.343,1.0,14.645,14.645
2012-BLG-0110,BLG603.06,44567,17:44:17.51,266.07295833,-34:44:36.4,-34.74344444,2455966.395,2012-02-08.89,20.507,0.346,3.015,1.198,1.0,19.703,19.703
2012-BLG-0111,BLG603.10,47550,17:47:22.06,266.84191667,-34:22:57.2,-34.38255556,2455986.531,2012-02-29.03,10.22,0.164,6.167,1.975,0.517,18.905,19.621
2012-BLG-0112,BLG501.03,34355,17:52:52.76,268.21983333,-30:12:06.0,-30.20166667,2456005.515,2012-03-19.02,12.223,0.864,1.459,0.410,1.0,14.216,14.216
2012-BLG-0113,BLG504.17,75446,18:00:27.88,270.11616667,-27:48:10.7,-27.80297222,2455989.387,2012-03-02.89,49.96,0.133,7.561,2.196,0.064,18.405,21.386
2012-BLG-0114,BLG505.14,54005,17:56:12.74,269.05308333,-29:30:50.0,-29.51388889,2455984.699,2012-02-27.20,11.427,0.15,6.721,2.069,1.0,20.081,20.081
2012-BLG-0115,BLG512.12,156235,18:03:03.30,270.76375,-28:42:54.6,-28.71516667,2455983.632,2012-02-26.13,16.835,0.2,5.072,1.763,0.197,18.331,20.095
2012-BLG-0116,BLG512.18,111941,18:05:01.80,271.2575,-28:35:48.9,-28.59691667,2455983.506,2012-02-26.01,24.402,0.816,1.512,0.449,1.0,18.839,18.839
2012-BLG-0117,BLG534.01,47085,17:54:07.61,268.53170833,-31:39:01.2,-31.65033333,2455996.216,2012-03-09.72,26.269,0.377,2.793,1.115,0.521,19.054,19.76
2012-BLG-0118,BLG535.02,26289,17:53:27.59,268.36495833,-32:40:55.6,-32.68211111,2455993.554,2012-03-07.05,19.354,0.101,9.983,2.498,0.408,18.775,19.748
2012-BLG-0119,BLG611.21,73907,17:35:36.87,263.903625,-27:00:11.7,-27.00325,2455985.676,2012-02-28.18,8.189,0.19,5.343,1.819,0.173,18.928,20.835
2012-BLG-0120,BLG611.24,63086,17:33:36.86,263.40358333,-26:54:03.4,-26.90094444,2456043.832,2012-04-26.33,42.202,0.473,2.287,0.898,1.0,18.27,18.27
2012-BLG-0121,BLG504.13,135142,17:56:48.16,269.20066667,-28:10:32.7,-28.17575,2455983.705,2012-02-26.20,9.698,0.911,1.414,0.376,1.0,18.847,18.847
2012-BLG-0122,BLG511.12,40147,18:03:11.31,270.797125,-27:40:37.0,-27.67694444,2455986.98,2012-02-29.48,10.388,0.699,1.681,0.564,0.726,15.205,15.552
2012-BLG-0123,BLG512.15,63037,18:01:06.57,270.277375,-28:51:36.5,-28.86013889,2456029.02,2012-04-11.52,50.615,0.942,1.386,0.354,1.0,18.329,18.329
2012-BLG-0124,BLG534.20,88284,17:52:37.78,268.15741667,-30:51:21.6,-30.856,2455987.614,2012-03-01.11,14.526,0.04,25.178,3.503,0.133,19.788,21.979
2012-BLG-0125,BLG603.01,63162,17:48:09.35,267.03895833,-34:32:28.8,-34.54133333,2456000.845,2012-03-14.35,9.002,0.162,6.226,1.986,1.0,15.542,15.542
2012-BLG-0126,BLG505.23,72125,17:56:15.40,269.06416667,-28:59:03.0,-28.98416667,2455988.538,2012-03-02.04,7.267,0.365,2.878,1.148,0.38,17.966,19.015
2012-BLG-0127,BLG506.25,77838,17:54:38.42,268.66008333,-30:18:37.0,-30.31027778,2455991.736,2012-03-05.24,4.202,0.952,1.378,0.348,1.0,18.082,18.082
2012-BLG-0128,BLG611.09,12112,17:37:57.50,264.48958333,-27:20:02.6,-27.33405556,2456006.852,2012-03-20.35,66.43,1.506,1.132,0.135,1.0,17.842,17.842
2012-BLG-0129,BLG615.27,3144,17:26:03.42,261.51425,-29:27:27.6,-29.45766667,2456000.27,2012-03-13.77,20.383,0.71,1.661,0.551,0.635,15.893,16.386
2012-BLG-0130,BLG502.26,87971,17:53:49.70,268.45708333,-33:10:31.9,-33.17552778,2455992.136,2012-03-05.64,5.197,0.448,2.399,0.950,1.0,17.861,17.861
2012-BLG-0131,BLG504.18,121790,17:59:31.42,269.88091667,-27:54:13.3,-27.90369444,2455974.942,2012-02-17.44,244.381,0.072,13.909,2.858,1.0,19.925,19.925
2012-BLG-0132,BLG505.03,26611,17:58:28.16,269.61733333,-29:40:20.4,-29.67233333,2456005.145,2012-03-18.64,19.051,1.756,1.088,0.091,1.0,17.313,17.313
2012-BLG-0133,BLG506.19,132851,17:58:40.93,269.67054167,-30:26:00.3,-30.43341667,2455990.128,2012-03-03.63,5.596,0.651,1.770,0.620,1.0,19.453,19.453
2012-BLG-0134,BLG506.27,202158,17:58:45.52,269.68966667,-29:51:36.7,-29.86019444,2455991.917,2012-03-05.42,29.008,0.016,61.287,4.468,0.051,18.644,21.875
2012-BLG-0135,BLG515.22,117587,18:02:19.48,270.58116667,-32:13:40.7,-32.22797222,2456011.752,2012-03-25.25,27.35,0.116,8.679,2.346,0.616,18.31,18.836
2012-BLG-0136,BLG603.27,59447,17:47:21.82,266.84091667,-33:33:53.4,-33.56483333,2455994.119,2012-03-07.62,16.206,0.214,4.759,1.694,0.13,18.443,20.656
2012-BLG-0137,BLG501.20,56449,17:52:41.81,268.17420833,-29:48:39.9,-29.81108333,2455989.981,2012-03-03.48,2.356,0.258,3.971,1.497,1.0,19.137,19.137
2012-BLG-0138,BLG504.29,85854,17:57:38.49,269.410375,-27:22:30.5,-27.37513889,2456005.822,2012-03-19.32,21.279,0.124,8.098,2.271,1.0,19.006,19.006
2012-BLG-0139,BLG507.16,11007,17:54:55.57,268.73154167,-31:54:25.2,-31.907,2455984.651,2012-02-27.15,17.112,0.197,5.145,1.779,0.519,18.696,19.408
2012-BLG-0140,BLG518.06,4343,18:07:13.33,271.80554167,-27:20:51.4,-27.34761111,2455996.115,2012-03-09.62,4.719,0.644,1.784,0.629,1.0,14.306,14.306
2012-BLG-0141,BLG534.09,43932,17:54:02.33,268.50970833,-31:20:36.9,-31.34358333,2455989.879,2012-03-03.38,2.032,1.697,1.096,0.100,1.0,16.371,16.371
2012-BLG-0142,BLG505.03,155431,17:58:08.72,269.53633333,-29:38:20.7,-29.63908333,2455987.036,2012-02-29.54,18.042,1.127,1.264,0.254,1.0,18.151,18.151
2012-BLG-0143,BLG511.25,101501,18:00:08.54,270.03558333,-27:14:35.5,-27.24319444,2455991.97,2012-03-05.47,13.301,0.191,5.314,1.813,0.51,19.814,20.545
2012-BLG-0144,BLG611.19,4194,17:37:14.88,264.312,-27:06:06.3,-27.10175,2456026.263,2012-04-08.76,20.674,0.541,2.047,0.778,1.0,17.262,17.262
2012-BLG-0145,BLG615.13,137585,17:23:28.08,260.867,-29:50:53.8,-29.84827778,2455994.248,2012-03-07.75,60.516,0.162,6.225,1.985,0.318,19.517,20.761
2012-BLG-0146,BLG507.18,159200,17:59:28.95,269.870625,-31:23:50.7,-31.39741667,2456012.844,2012-03-26.34,81.553,0.46,2.345,0.925,1.0,19.152,19.152
2012-BLG-0147,BLG519.02,48492,18:10:01.84,272.50766667,-28:31:30.6,-28.52516667,2456005.052,2012-03-18.55,31.768,0.443,2.418,0.959,0.334,18.212,19.404
2012-BLG-0148,BLG520.17,25894,18:11:42.55,272.92729167,-29:01:35.5,-29.02652778,2456004.141,2012-03-17.64,10.825,1.435,1.149,0.151,1.0,15.729,15.729
2012-BLG-0149,BLG534.11,28048,17:52:52.79,268.21995833,-31:10:50.2,-31.18061111,2456008.428,2012-03-21.93,15.338,1.491,1.135,0.138,1.0,14.593,14.593
2012-BLG-0150,BLG534.31,33625,17:50:41.77,267.67404167,-30:29:27.1,-30.49086111,2455991.548,2012-03-05.05,4.396,0.152,6.651,2.057,0.445,20.109,20.989
2012-BLG-0151,BLG611.29,130297,17:35:26.60,263.86083333,-26:32:40.7,-26.54463889,2455994.336,2012-03-07.84,1.862,0.322,3.224,1.271,0.545,16.398,17.056
2012-BLG-0152,BLG505.05,59410,17:56:58.38,269.24325,-29:48:39.3,-29.81091667,2455993.591,2012-03-07.09,7.365,1.113,1.272,0.261,1.0,18.181,18.181
2012-BLG-0153,BLG513.15,62560,18:00:59.64,270.2485,-29:56:47.0,-29.94638889,2455994.052,2012-03-07.55,30.564,0.031,32.330,3.774,0.05,18.186,21.443
2012-BLG-0154,BLG519.25,18005,18:05:58.65,271.494375,-27:52:27.9,-27.87441667,2455993.274,2012-03-06.77,6.062,0.564,1.979,0.741,1.0,19.094,19.094
2012-BLG-0155,BLG580.32,49233,18:06:03.72,271.5155,-25:09:07.6,-25.15211111,2455994.225,2012-03-07.72,14.898,0.118,8.515,2.326,0.581,20.393,20.982
2012-BLG-0156,BLG617.28,17554,17:16:56.59,259.23579167,-29:15:02.8,-29.25077778,2455992.894,2012-03-06.39,15.331,0.055,18.082,3.143,1.0,19.904,19.904
2012-BLG-0157,BLG626.01,101144,17:42:05.26,265.52191667,-24:41:04.5,-24.68458333,2455995.39,2012-03-08.89,16.604,0.055,18.362,3.160,1.0,17.001,17.001
2012-BLG-0158,BLG626.24,25886,17:38:33.68,264.64033333,-23:50:20.0,-23.83888889,2456029.776,2012-04-12.28,89.211,1.894,1.071,0.074,1.0,17.135,17.135
2012-BLG-0159,BLG626.24,86544,17:38:15.39,264.564125,-23:55:12.8,-23.92022222,2455965.141,2012-02-07.64,14.897,0.545,2.032,0.770,1.0,16.913,16.913
2012-BLG-0160,BLG630.19,13943,17:46:59.09,266.74620833,-20:51:54.7,-20.86519444,2456027.644,2012-04-10.14,50.26,0.527,2.088,0.800,1.0,18.896,18.896
2012-BLG-0161,BLG500.19,113800,17:53:23.56,268.34816667,-28:30:41.1,-28.51141667,2455993.996,2012-03-07.50,8.029,0.48,2.259,0.885,1.0,19.623,19.623
2012-BLG-0162,BLG512.26,122410,18:05:08.80,271.28666667,-28:11:22.9,-28.18969444,2455994.235,2012-03-07.74,2.58,1.016,1.330,0.310,1.0,18.1,18.1
2012-BLG-0163,BLG534.20,70402,17:52:44.69,268.18620833,-30:55:42.6,-30.9285,2456096.44,2012-06-17.94,54.782,0.332,3.137,1.241,0.971,16.762,16.793
2012-BLG-0164,BLG580.09,28809,18:10:43.46,272.68108333,-25:38:07.6,-25.63544444,2456000.461,2012-03-13.96,23.218,0.157,6.409,2.017,0.428,18.988,19.909
2012-BLG-0165,BLG580.31,85481,18:06:47.10,271.69625,-25:07:05.4,-25.11816667,2455992.922,2012-03-06.42,8.549,0.125,8.072,2.267,0.512,20.221,20.948
2012-BLG-0166,BLG609.01,35740,17:42:16.58,265.56908333,-35:19:28.8,-35.32466667,2456014.499,2012-03-28.00,47.377,0.41,2.592,1.034,0.776,17.469,17.744
2012-BLG-0167,BLG609.09,49783,17:42:10.48,265.54366667,-34:52:31.5,-34.87541667,2456020.408,2012-04-02.91,56.983,0.844,1.480,0.426,1.0,16.692,16.692
2012-BLG-0168,BLG501.23,12456,17:50:44.98,267.68741667,-29:41:28.8,-29.69133333,2455994.611,2012-03-08.11,2.538,0.744,1.608,0.516,1.0,19.041,19.041
2012-BLG-0169,BLG503.06,126547,17:49:51.38,267.46408333,-35:22:28.0,-35.37444444,2456024.975,2012-04-07.47,129.458,0.218,4.666,1.672,1.0,19.363,19.363
2012-BLG-0170,BLG503.11,93214,17:52:13.49,268.05620833,-34:58:28.9,-34.97469444,2455945.755,2012-01-19.25,32.569,0.592,1.902,0.698,1.0,17.502,17.502
2012-BLG-0171,BLG504.10,124392,17:58:49.11,269.704625,-28:09:39.7,-28.16102778,2456017.802,2012-03-31.30,21.393,0.27,3.807,1.451,1.0,17.907,17.907
2012-BLG-0172,BLG516.14,127834,18:01:33.53,270.38970833,-33:37:37.2,-33.627,2455996.61,2012-03-10.11,35.09,0.668,1.737,0.600,1.0,16.515,16.515
2012-BLG-0173,BLG521.31,4942,18:07:35.72,271.89883333,-30:04:45.3,-30.07925,2456001.037,2012-03-14.54,50.628,1.321,1.183,0.182,1.0,17.973,17.973
2012-BLG-0174,BLG525.20,47641,18:14:57.51,273.739625,-29:46:15.4,-29.77094444,2455992.481,2012-03-05.98,42.946,0.233,4.380,1.604,0.814,17.718,17.941
2012-BLG-0175,BLG526.26,53721,18:16:27.95,274.11645833,-30:38:15.3,-30.63758333,2455974.047,2012-02-16.55,35.886,0.0,341722,13.834,1.0,18.79,18.79
2012-BLG-0176,BLG573.16,29382,18:06:16.40,271.56833333,-31:45:07.0,-31.75194444,2456219.368,2012-10-18.87,218.869,0.168,6.027,1.950,1.0,14.782,14.782
2012-BLG-0177,BLG588.05,40891,18:08:28.11,272.117125,-33:24:20.2,-33.40561111,2455999.493,2012-03-12.99,21.078,1.278,1.198,0.196,1.0,17.925,17.925
2012-BLG-0178,BLG612.14,26268,17:28:43.98,262.18325,-28:14:05.0,-28.23472222,2456030.314,2012-04-12.81,32.976,0.592,1.904,0.699,1.0,17.135,17.135
2012-BLG-0179,BLG646.01,69264,18:05:09.36,271.289,-26:29:20.4,-26.489,2455991.886,2012-03-05.39,4.256,0.283,3.633,1.401,1.0,17.784,17.784
