event,field,star_no,ra_j2000,ra_deg,dec_j2000,dec_deg,tmax_hjd,tmax_ut,tau,umin,amax,dmag,fbl,ibl,i0
2023-BLG-0649,BLG637.23,76078,17:49:19.14,267.32975,-21:25:51.0,-21.43083333,2460083.576,2023-05-19.08,39.507,0.455,2.364,0.934,1.0,19.899,19.899
2023-BLG-0650,BLG638.22,4104,17:50:20.46,267.58525,-22:47:32.1,-22.79225,2460098.812,2023-06-03.31,21.21,0.038,26.027,3.383,0.861,19.677,19.839
2023-BLG-0651,BLG680.03,7855,17:40:14.59,265.06079167,-37:42:39.7,-37.71102778,2460092.841,2023-05-28.34,32.515,1.68,1.099,0.102,1.0,16.711,16.711
2023-BLG-0652,BLG680.03,24901,17:40:10.45,265.04354167,-37:34:48.2,-37.58005556,2460130.315,2023-07-04.81,30.894,0.497,2.194,0.853,1.0,17.566,17.566
2023-DG-0025,DG1013.08,814,18:46:45.97,281.69154167,-9:12:27.1,-9.20752778,2460145.073,2023-07-19.57,108.446,1.821,1.079,0.083,1.0,16.025,16.025
2023-BLG-0653,BLG503.11,135183,17:52:03.29,268.01370833,-34:59:16.1,-34.98780556,2460105.666,2023-06-10.17,38.098,1.089,1.285,0.272,1.0,18.375,18.375
2023-BLG-0654,BLG505.05,140826,17:56:44.93,269.18720833,-29:41:00.5,-29.68347222,2460129.663,2023-07-04.16,17.431,0.589,1.912,0.704,1.0,15.985,15.985
2023-BLG-0655,BLG510.20,96791,17:58:15.97,269.56654167,-35:05:52.9,-35.09802778,2460112.461,2023-06-16.96,20.405,0.4,2.648,1.057,1.0,18.726,18.726
2023-BLG-0656,BLG518.03,116174,18:09:03.13,272.26304167,-27:08:20.4,-27.139,2460163.774,2023-08-07.27,89.657,0.312,3.323,1.004,0.655,18.305,18.765
2023-BLG-0657,BLG518.06,72864,18:07:09.46,271.78941667,-27:12:23.5,-27.20652778,2460104.195,2023-06-08.70,146.348,0.197,5.140,0.755,0.243,18.808,20.346
2023-BLG-0658,BLG518.21,27324,18:08:44.57,272.18570833,-26:33:53.9,-26.56497222,2460080.68,2023-05-16.18,29.512,0.655,1.762,0.615,1.0,19.127,19.127
2023-BLG-0659,BLG529.20,51832,18:20:04.94,275.02058333,-25:22:10.3,-25.36952778,2460100.156,2023-06-04.66,12.919,0.394,2.684,1.072,1.0,18.698,18.698
2023-BLG-0660,BLG535.09,93123,17:53:53.00,268.47083333,-32:27:56.8,-32.46577778,2460096.282,2023-05-31.78,17.85,0.084,11.943,2.603,0.913,18.872,18.97
2023-BLG-0661,BLG535.10,36685,17:53:23.94,268.34975,-32:35:04.0,-32.58444444,2460102.835,2023-06-07.33,9.001,1.401,1.158,0.160,1.0,16.349,16.349
2023-BLG-0662,BLG535.29,86024,17:51:40.28,267.91783333,-31:43:55.9,-31.73219444,2460096.286,2023-05-31.79,22.219,1.18,1.238,0.232,1.0,17.783,17.783
2023-BLG-0663,BLG545.20,45986,18:14:32.57,273.63570833,-24:46:23.1,-24.77308333,2460099.843,2023-06-04.34,13.171,0.701,1.678,0.562,1.0,19.195,19.195
2023-BLG-0664,BLG606.04,53129,17:45:00.52,266.25216667,-38:20:33.7,-38.34269444,2460219.796,2023-10-02.30,173.54,1.119,1.268,0.258,1.0,18.467,18.467
2023-BLG-0665,BLG609.09,81274,17:42:01.29,265.505375,-34:56:35.0,-34.94305556,2460239.887,2023-10-22.39,87.059,0.252,4.068,1.395,0.852,16.709,16.883
2023-BLG-0666,BLG632.13,83941,17:44:56.55,266.235625,-23:43:44.8,-23.72911111,2460092.759,2023-05-28.26,18.372,0.941,1.387,0.355,1.0,18.283,18.283
2023-BLG-0667,BLG633.10,8191,17:47:11.49,266.797875,-24:54:38.4,-24.91066667,2460144.142,2023-07-18.64,240.385,0.071,14.151,0.955,0.107,18.543,20.968
2023-BLG-0668,BLG653.08,7402,17:38:37.22,264.65508333,-28:48:26.7,-28.80741667,2460100.676,2023-06-05.18,15.934,0.319,3.257,1.282,1.0,19.437,19.437
2023-BLG-0669,BLG675.04,67112,17:40:48.74,265.20308333,-27:56:36.8,-27.94355556,2460162.511,2023-08-06.01,565.331,0.069,14.577,1.541,0.231,20.388,21.979
2023-BLG-0670,BLG884.04,492,16:59:10.04,254.79183333,-30:53:20.6,-30.88905556,2460234.509,2023-10-17.01,174.208,2.0,1.061,0.064,1.0,15.484,15.484
2023-BLG-0671,BLG896.31,41473,17:03:31.32,255.8805,-30:25:00.2,-30.41672222,2460113.99,2023-06-18.49,51.045,0.67,1.733,0.597,1.0,18.308,18.308
2023-BLG-0672,BLG966.08,55661,17:32:18.13,263.07554167,-22:57:56.5,-22.96569444,2460119.216,2023-06-23.72,74.096,0.136,7.378,1.584,0.518,19.522,20.237
2023-DG-0026,DG1011.20,53957,18:44:43.78,281.18241667,-6:12:28.6,-6.20794444,2460121.078,2023-06-25.58,61.495,1.811,1.080,0.084,1.0,15.412,15.412
2023-BLG-0673,BLG641.08,43001,17:58:13.15,269.55479167,-21:11:13.1,-21.18697222,2460112.815,2023-06-17.32,34.471,0.675,1.724,0.591,1.0,18.816,18.816
